analyte_name,armss_coeff,pvalue,CI,model_converged_flag,analyte_type,selection_flag
eicosapentaenoate (EPA; 20:5n3),-1.191724155,0.020160754,"(-2.1970586255555085, -0.18638968432723724)",TRUE,untargeted,FALSE
arachidonate (20:4n6),-1.186912327,0.02023906,"(-2.188815579026005, -0.18500907456170168)",TRUE,untargeted,TRUE
prolylglycine,-0.483010465,0.020297024,"(-0.8909208662214203, -0.07510006450018236)",TRUE,untargeted,FALSE
inosine,-0.518743285,0.022196391,"(-0.9633093019945669, -0.07417726823553289)",TRUE,untargeted,TRUE
2-aminoadipate,0.555850846,0.022320546,"(0.07904104753464153, 1.0326606450957898)",TRUE,untargeted,TRUE
5-methyluridine (ribothymidine),-0.555492776,0.022763419,"(-1.033561801799626, -0.0774237496056498)",TRUE,untargeted,TRUE
phenyllactate (PLA),-1.18314366,0.023014765,"(-2.203260548809655, -0.16302677104264096)",TRUE,untargeted,TRUE
N-oleoyltaurine,-0.905305229,0.023385411,"(-1.6879712866697663, -0.12263917125489876)",TRUE,untargeted,TRUE
N-acetylglutamine,-0.246879366,0.024202589,"(-0.46156285133443103, -0.03219588034397308)",TRUE,untargeted,FALSE
2'-O-methylcytidine,-0.31541362,0.025177353,"(-0.5915593477378394, -0.039267893043501534)",TRUE,untargeted,TRUE
N2-acetyllysine,-0.296876995,0.025725022,"(-0.5577649221262992, -0.035989068779896494)",TRUE,untargeted,TRUE
1-pentadecanoylglycerol (15:0),-0.7041659,0.02643455,"(-1.325915593741375, -0.08241620619391798)",TRUE,untargeted,TRUE
N-acetylglycine,-0.586832995,0.026462642,"(-1.1050790557254475, -0.06858693467075905)",TRUE,untargeted,FALSE
deoxycarnitine,-0.440914872,0.026781581,"(-0.8311178276052807, -0.050711917192694744)",TRUE,untargeted,TRUE
1-(1-enyl-palmitoyl)-GPE (P-16:0)*,-0.740255453,0.027784512,"(-1.3996490558440344, -0.08086184982539468)",TRUE,untargeted,TRUE
"12,13-DiHOME",-0.696529353,0.027903195,"(-1.3174447927539656, -0.07561391328691336)",TRUE,untargeted,TRUE
4-hydroxyglutamate,-0.738294144,0.028536431,"(-1.3990891270677828, -0.07749916020573888)",TRUE,untargeted,TRUE
methylmalonate (MMA),0.540085542,0.028744969,"(0.05605974439131389, 1.024111338749698)",TRUE,untargeted,TRUE
glucose,-0.622859539,0.029295006,"(-1.1829814662748892, -0.0627376108601354)",TRUE,untargeted,TRUE
tartarate,-1.39255042,0.029414552,"(-2.6457607006548916, -0.13934013913470467)",TRUE,untargeted,FALSE
gamma-glutamylvaline,-0.529477115,0.029710184,"(-1.0068405779327667, -0.052113652155086065)",TRUE,untargeted,TRUE
1-stearoyl-GPI (18:0),-1.059509193,0.030192069,"(-2.01754424573339, -0.10147413992694909)",TRUE,untargeted,TRUE
alpha-CEHC sulfate,-0.910436396,0.030659112,"(-1.735996403242977, -0.08487638791854968)",TRUE,untargeted,TRUE
3-hydroxyquinine,0.921652057,0.03108331,"(0.08380371377709661, 1.759500399388755)",TRUE,untargeted,FALSE
p-hydroxyatorvastatin,-2.010301659,0.032119503,"(-3.848969644624865, -0.17163367402573648)",TRUE,untargeted,FALSE
"5alpha-androstan-3alpha,17beta-diol monosulfate (1)",1.332362552,0.032262597,"(0.11274108746399625, 2.5519840157737166)",TRUE,untargeted,TRUE
3-(2-hydroxyphenyl)propionate,-0.594808234,0.032322783,"(-1.139475085117739, -0.05014138237238264)",TRUE,untargeted,TRUE
N1-methyl-2-pyridone-5-carboxamide,-0.608980127,0.032600718,"(-1.167519125689522, -0.05044112797619649)",TRUE,untargeted,TRUE
behenoyl sphingomyelin (d18:1/22:0)*,-0.612405403,0.032770845,"(-1.174635013330866, -0.050175792312278866)",TRUE,untargeted,TRUE
daidzein,-0.937296792,0.0347566,"(-1.807457314168734, -0.06713626897599101)",TRUE,untargeted,FALSE
1-stearoyl-GPE (18:0),-0.47850654,0.035133721,"(-0.9236600586335226, -0.03335302165966503)",TRUE,untargeted,TRUE
o-hydroxyatorvastatin,-1.949364839,0.035496429,"(-3.766446130266023, -0.1322835475206674)",TRUE,untargeted,FALSE
pentose acid*,-0.683433725,0.036358669,"(-1.3234593800853096, -0.04340807059715701)",TRUE,untargeted,FALSE
myristate (14:0),0.47499883,0.037300101,"(0.027941610241865367, 0.9220560492530863)",TRUE,untargeted,TRUE
Acetic acid,-0.25835863,0.03899949,"(-0.5036718307760064, -0.013045430213021209)",TRUE,targeted,TRUE
3beta-hydroxy-5-cholenoate,-0.405394595,0.039412979,"(-0.7911310282301478, -0.01965816097955042)",TRUE,untargeted,TRUE
2-aminophenol sulfate,-1.135799355,0.039633333,"(-2.217729628169186, -0.05386908090170772)",TRUE,untargeted,TRUE
tartronate (hydroxymalonate),-0.465347848,0.041594072,"(-0.9129741955942918, -0.017721499962658094)",TRUE,untargeted,TRUE
